Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2
Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,-0.1,0.000,,,0.0000,,,0.000,27.9,0.000,,,0.0000,,
0.020,-0.1,0.000,0.000,,0.0000,0.000,,0.020,27.9,0.000,0.000,,0.0000,0.000,
0.040,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.040,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.060,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.060,27.8,0.000,0.000,0.000,0.0000,0.000,0.000
0.080,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.080,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.100,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.100,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.120,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.120,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.140,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.140,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.160,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.160,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.180,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.180,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.200,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.200,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.220,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.220,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.240,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.240,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.260,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.260,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.280,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.280,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.300,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.300,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.320,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.320,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.340,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.340,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.360,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.360,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.380,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.380,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.400,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.400,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.420,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.420,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.440,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.440,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.460,-0.2,0.000,0.000,0.000,0.0000,0.000,0.000,0.460,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.480,-0.1,0.000,0.000,0.000,0.0000,0.000,0.000,0.480,27.9,0.000,0.000,0.000,0.0000,0.000,0.000
