Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3
Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,0.4,0.000,,,0.0000,,,0.000,5.2,0.017,,,4.1667E-4,,
0.020,0.4,0.000,0.000,,0.0000,0.000,,0.020,5.2,0.017,0.000,,4.1667E-4,0.000,
0.040,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.040,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.060,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.060,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.080,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.080,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.100,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.100,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.120,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.120,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.140,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.140,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.160,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.160,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.180,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.180,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.200,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.200,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.220,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.220,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.240,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.240,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.260,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.260,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.280,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.280,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.300,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.300,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.320,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.320,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.340,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.340,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.360,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.360,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.380,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.380,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.400,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.400,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.420,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.420,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.440,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.440,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.460,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.460,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.480,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.480,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.500,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.500,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.520,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.520,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.540,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.540,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.560,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.560,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.580,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.580,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.600,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.600,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.620,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.620,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.640,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.640,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.660,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.660,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.680,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.680,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.700,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.700,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.720,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.720,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.740,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.740,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.760,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.760,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.780,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.780,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.800,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.800,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.820,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.820,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.840,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.840,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.860,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.860,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.880,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.880,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.900,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.900,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.920,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.920,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.940,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.940,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.960,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.960,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
0.980,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,0.980,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.000,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.000,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.020,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.020,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.040,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.040,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.060,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.060,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.080,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.080,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.100,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.100,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.120,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.120,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.140,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.140,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.160,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.160,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.180,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.180,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.200,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.200,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.220,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.220,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.240,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.240,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.260,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.260,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.280,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.280,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.300,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.300,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.320,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.320,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.340,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.340,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.360,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.360,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.380,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.380,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.400,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.400,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.420,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.420,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.440,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.440,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.460,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.460,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.480,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.480,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.500,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.500,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.520,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.520,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.540,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.540,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.560,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.560,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.580,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.580,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.600,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.600,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.620,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.620,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.640,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.640,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.660,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.660,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.680,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.680,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.700,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.700,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.720,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.720,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.740,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.740,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.760,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.760,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.780,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.780,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.800,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.800,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.820,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.820,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.840,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.840,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.860,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.860,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.880,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.880,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.900,0.2,0.000,0.000,0.000,0.0000,0.000,0.000,1.900,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.920,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.920,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.940,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.940,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.960,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.960,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
1.980,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,1.980,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.000,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,2.000,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.020,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,2.020,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.040,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,2.040,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.060,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,2.060,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.080,0.3,0.000,0.000,0.000,0.0000,0.000,0.000,2.080,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.100,0.2,0.000,0.000,-10.908,0.0000,0.000,-0.260,2.100,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.120,0.2,0.000,-0.436,-21.817,0.0000,-0.010,-0.521,2.120,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.140,0.3,-0.017,-0.873,-10.908,-4.1667E-4,-0.021,-0.260,2.140,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.160,0.3,-0.035,-0.873,10.908,-8.3333E-4,-0.021,0.260,2.160,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.180,0.2,-0.052,-0.436,-21.817,-0.0012,-0.010,-0.521,2.180,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.200,0.2,-0.052,-1.745,-65.450,-0.0012,-0.042,-1.562,2.200,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.220,0.2,-0.122,-3.054,10.908,-0.0029,-0.073,0.260,2.220,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.240,0.2,-0.175,-1.309,54.542,-0.0042,-0.031,1.302,2.240,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.260,0.2,-0.175,-0.873,-119.991,-0.0042,-0.021,-2.865,2.260,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
2.280,0.2,-0.209,-6.109,-316.341,-0.0050,-0.146,-7.552,2.280,5.1,0.017,0.000,0.000,4.1667E-4,0.000,0.000
