Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5
Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Light Intensity (%),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,0.4,0.000,,,0.0000,,,0.000,5.2,0.017,,,4.1667E-4,,,0.000,4.4,0.000,,,0.0000,,,0.000,0.8,0.000,,,0.0000,,
0.020,0.4,0.000,0.000,,0.0000,0.000,,0.020,5.2,0.017,0.000,,4.1667E-4,0.000,,0.020,4.4,0.000,0.000,,0.0000,0.000,,0.020,0.8,0.000,0.000,,0.0000,0.000,
0.040,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.040,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.040,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.040,0.8,0.000,0.000,0.000,0.0000,0.000,0.000
0.060,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.060,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.060,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.060,0.8,0.000,0.000,0.000,0.0000,0.000,0.000
0.080,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.080,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.080,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.080,0.8,0.000,0.000,0.000,0.0000,0.000,0.000
0.100,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.100,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.100,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.100,0.9,0.000,0.000,0.000,0.0000,0.000,0.000
0.120,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.120,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.120,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.120,0.8,0.000,0.000,0.000,0.0000,0.000,0.000
0.140,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.140,5.2,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.140,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.140,0.8,0.000,0.000,0.000,0.0000,0.000,0.000
0.160,0.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.160,5.3,0.017,0.000,0.000,4.1667E-4,0.000,0.000,0.160,4.4,0.000,0.000,0.000,0.0000,0.000,0.000,0.160,0.8,0.000,0.000,0.000,0.0000,0.000,0.000
